Dataset Sentence ID,CTranslate Sentence ID,Cosine Similarity
1,524,1.0000001
2,525,0.99999994
3,526,0.99747384
4,527,1.0
5,528,0.9984624
6,529,0.9972957
7,530,1.0
8,531,0.9999998
9,532,0.9999998
10,533,0.9973336
11,534,0.99915564
12,535,1.0000001
13,536,1.0000001
14,537,1.0
15,538,0.99999994
16,539,0.9999999
17,540,1.0
18,541,1.0
19,542,1.0000001
20,543,0.9961889
21,544,1.0000001
22,545,1.0000002
23,546,0.9970713
24,547,0.9338555
25,548,0.9954748
26,549,0.99999994
27,550,0.9993096
28,551,0.9999999
29,552,0.9959362
30,553,1.0000001
31,554,1.0000001
32,555,1.0
33,556,0.99943095
34,557,1.0000001
35,558,0.9988676
36,559,0.99999994
37,560,0.9999999
38,561,0.9978435
39,562,0.9999998
40,563,0.99804807
41,564,0.99999994
42,565,0.99921227
43,566,1.0000001
44,567,1.0000002
45,568,0.9994184
46,569,0.99999994
47,570,1.0000002
48,571,1.0000004
49,572,1.0
50,573,1.0
51,574,0.99790394
52,575,0.9969284
53,576,0.9999999
54,577,1.0000001
55,578,1.0
56,579,0.99999994
57,580,0.9995269
58,581,1.0000001
59,582,0.99321043
60,583,0.99941695
61,584,0.9990944
62,585,0.99785477
63,586,1.0
64,587,1.0000002
65,588,0.9983187
66,589,0.99860567
67,590,0.99659806
68,591,0.9986916
69,592,1.0
70,593,0.99588567
71,594,0.9995156
72,595,0.99999994
73,596,0.9955133
74,597,1.0000001
75,598,0.99897385
76,599,0.99809307
77,600,0.9992952
78,601,1.0
79,602,1.0000001
80,603,0.99929714
81,604,1.0
82,605,0.99288154
83,606,0.9933421
84,607,0.9999999
85,608,1.0000001
86,609,1.0000001
87,610,0.9873166
88,611,0.9992541
89,612,0.9999999
90,613,0.9999999
91,614,0.9999999
92,615,0.9928822
93,616,1.0000001
94,617,1.0
95,618,0.98685414
96,619,1.0
97,620,0.996921
98,621,0.99905914
99,622,0.99829805
100,623,0.9980547
101,624,0.99895436
102,625,1.0
103,626,0.9995205
104,627,0.99368304
105,628,1.0
106,629,0.9993687
107,630,1.0
108,631,0.9999998
109,632,0.99989706
110,633,1.0000001
111,634,0.9981464
112,635,0.9976546
113,636,0.9996147
114,637,0.9987694
115,638,0.9956252
116,639,0.99917644
117,640,0.993562
118,641,0.9999999
119,642,0.99652773
120,643,0.9990602
121,644,0.99982744
122,645,0.99427694
123,646,0.9990419
124,647,1.0
125,648,1.0
126,649,0.9987446
127,650,0.99999994
128,651,0.9988129
129,652,0.9970763
130,653,1.0
131,654,0.99818695
132,655,0.9996676
133,656,1.0000001
134,657,0.9999999
135,658,0.99965125
136,659,0.99914074
137,660,0.9939083
138,661,0.99999994
139,662,0.99999994
140,663,0.9976597
141,664,0.99916697
142,665,0.99813634
143,666,0.9991578
144,667,1.0000002
145,668,1.0
146,669,0.99863994
147,670,0.9993563
148,671,1.0
149,672,0.9936597
150,673,1.0000001
151,674,0.9954767
152,675,1.0000002
153,676,1.0000001
154,677,0.9992835
155,678,1.0000001
156,679,0.99881446
157,680,0.99858373
158,681,0.9939352
159,682,0.99924165
160,683,0.99836093
161,684,0.99918157
162,685,1.0000002
163,686,0.99717313
164,687,0.99670905
165,688,1.0000001
166,689,0.9999999
167,690,1.0
168,691,1.0000001
169,692,1.0000001
170,693,1.0
171,694,1.0
172,695,0.9991832
173,696,0.99957937
174,697,0.9996902
175,698,0.99867934
176,699,1.0
177,700,0.99924797
178,701,0.9995857
179,702,0.997306
180,703,0.9987297
181,704,0.9960851
182,705,0.99999994
183,706,0.9997643
184,707,1.0000001
185,708,0.99912846
186,709,0.99999994
187,710,0.9993663
188,711,1.0
189,712,0.9992226
190,713,1.0000001
191,714,1.0000002
192,715,0.9984389
193,716,0.999564
194,717,1.0000001
195,718,0.9990836
196,719,0.9999998
197,720,0.9990721
198,721,1.0
199,722,0.9989247
200,723,0.9981395
201,724,1.0
202,725,0.9999999
203,726,0.9996727
204,727,0.99999994
205,728,0.99581414
206,729,0.9978558
207,730,0.9975185
208,731,1.0000002
209,732,1.0000001
210,733,0.99999994
211,734,0.9989722
212,735,0.9968431
213,736,0.99999994
214,737,1.0000001
215,738,0.99999994
216,739,0.99239045
217,740,1.0
218,741,1.0
219,742,1.0
220,743,0.99751663
221,744,1.0000001
222,745,1.0000002
223,746,0.9990278
224,747,0.99899524
225,748,0.9997493
226,749,0.99999994
227,750,0.9995977
228,751,1.0
229,752,1.0000001
230,753,0.9999999
231,754,1.0
232,755,0.9980296
233,756,0.9997909
234,757,1.0000002
235,758,1.0000001
236,759,1.0
237,760,1.0000001
238,761,0.9998645
239,762,1.0000001
240,763,1.0000001
241,764,0.99999994
242,765,0.9993252
243,766,0.9977293
244,767,0.99989086
245,768,1.0
246,769,0.99823785
247,770,0.99999994
248,771,0.9940231
249,772,0.9972468
250,773,0.9985497
251,774,0.98153543
252,775,1.0
253,776,0.9999999
