line_count;en;lt;translated_text;error_code
1;Meeting in Vilnius;Sutikimas Vilniuje;Sutikimas Vilniuje;0
2;That is the address;Štai adresas;Štai adresas;0
3;Where does Sigita live?;Kur gyvena Sigita?;Kur givena Sigita?;12
4;I am looking for Miss Sigita;Aš ieškau Sigitos;Aš ieškau Sigitos;0
5;Just a moment;Minutėlę;Minutėlė;11
6;Who are you please?;Atsiprašau, o kas Jūs?;Asiprašau, o kas mes?;13
7;Hello, I am Jonas Vasiliauskas;Alio, aš esu Jonas Vasiliauskas;Alio, aš esu Jonas Vasiliauskas;0
8;I am from Lithuania;Aš esu iš Lietuvos;Aš esu iš Lietuvos;0
9;Welcome to Vilnius;Sveiki atvykę į Vilnių;Sveiki atvykę į Vilnių;0
10;A hotel room is reserved for you;Jums užsakytas kambarys viešbutyje;Jums užpakaliukas kambarys viešumas;13, 13
11;"The hotel is called ""Žaliasis tiltas""";"Viešbutis vadinasi ""Žaliasis tiltas""";"Viešbutis vadinis ""Žaliasis tiltas""";12
12;The hotel is not large;Viešbutis nedidelis;Viešbutis nedidelis;0
13;It is small but comfortable;Jis mažas, bet patogus;Jis mažas, bet patogus;0
14;Where is the hotel?;Kur yra viešbutis?;Kur yra viešbutis?;0
15;It is easy to find and not far;Lengva surasti, jis netoli;Lengva surasti, jis netoli;0
16;Go left into Kalvarijos street and it  is one hundred meters in the right;Pasukite į Kalvarijos gatvę, jis už šimto metrų dešinėje;Pasukite į Kalvarijos gatvę, jis už šimto metrų dešinėje;0
17;Good night. Till tomorrow;Labanaktis. Iki.;Labanaktis. Iki.;0
18;In the hotel;Viešbutyje;Viešbutyje;0
19;The receptionist welcomes you;Jus sveikina registratorė;Jus sveikina registratorė;0
20;I am expecting you already;Aš Jūsų laukiau;Aš jūsų laukau;12
21;Have you got your  passport?;Ar turite pasą?;Ar turite pasą?;0
22;Your room number is seven;Jūsų kambario numeris septintas;Jūsų kambario numeris septintas;0
23;It's on the first floor;Jis antrame aukšte;Ji antrame aukštas;9
24;Your room;Jūsų kambarys;JŪSŲ KAMBARYS;12
25;Here is your room.;Štai Jūsų kambarys.;Štų Jūsų kambarys.;12
26;The room is very nice.;Kambarys puikus.;Kambarys puikus.;0
27;On the bed is only one  pillow. Would you like two?;Ant lovos - viena pagalvė, ar norite antrą?;Ant lovos - viena šventė, ar norite antrą?;13
28;No thank you. Only one please.;Ne, ačiū. Užteks vienos.;Ne, ačiū. Užteks vienos.;0
29;The bathroom is next door.;Vonia yra šalia kambario.;Vonia era šalia kambario.;12
30;Would you like to take a  shower?;Ar norite išsimaudyti?;Ar norite išsimaudyti?;0
31;Yes please.;Taip, būtų gerai.;Taip, būtų gerai.;0
32;Here is the soap and a bath towel.;Štai muilas ir vonios rankšluostis.;Štai muilas ir vonios rankšluostis.;0
33;Thank you. The bath towel is large and soft. Terrific!;Ačiū. Rankšluostis didelis ir minkštas.  Nuostabu!;Ačiū. Rankšluostis didelis ir audimas. Nuostabu!;13
34;In the hotel at reception;Viešbučio registratūroje;Viešbučio registratūroje;0
35;I do not like my room.;Atsiprašau, bet aš nepatenkintas kambariu.;Asiprašau, lažintis dėl nepatenkinto kambariu.;13, 13, 9
36;What is the matter then?;O kas negerai?;O kas negerai?;0
37;I cannot sleep.;Negaliu miegoti.;Negaliu miegoti.;0
38;I hear the street noise.;Girdėti triukšmas gatvėje.;Girdėtės triaukštis gatvėje.;12, 13
39;Where is your room?;Kur yra Jūsų kambarys?;Kur yra Jūsų kambarys?;0
40;On the first floor.;Pirmajame aukšte.;Pirmajame aukštai.;0
41;My room number is seven.;Mano kambarys septintas.;Mano kambarys septintas.;0
42;Would you like a room on the fifth  floor?;Ar norite kambario penktame aukšte?;Ar norite kambario penktame aukštai?;0
43;Yes, please.;Taip, būtų gerai.;Taip, būtų gerai.;0
44;In the morning;Ryte;Ryte;0
45;Good morning, did you sleep well?;Labas rytas. Ar gerai miegojote?;Labas rytas. Ar gera miegojote?;12
46;Yes, thank you.;Taip, ačiū.;Taip, ačiū.;0
47;The weather is fine now, isn't it?;Puikus oras, ar ne?;Puikus oras, ar ne?;0
48;The rain has stopped.;Nustojo lyti.;Nustojo lyti.;0
49;Yes, it's a fine day.;Taip, puiki diena.;Taip, puiki diena.;0
50;It's quite hot already.;Jau gana šilta.;Jau gana šilta.;0
51;What's the time, please?;Kiek dabar laiko?;Kiek dabar aiko?;12
52;Just a moment.;Tuoj pažiūrėsiu.;Tuoj pajūriu.;13
53;Nearly ten o'clock!;Tuoj dešimt!;Tuoj dešimt!;0
54;The Breakfast;Pusryčiai;Pusryčiai;0
55;Good morning, how are you?;Labas rytas, kaip miegojote?;Labas rytas, kaip miegojote?;0
56;Good morning, what's there for  breakfast?;Labas rytas. Ką turite pusryčiams?;Labas rytas. Ką turite pusryčiams?;0
57;We have fresh  rolls: rolls with seeds or soft rolls with butter, honey or jam.;Turime šviežių bandelių: bandelių su aguonomis arba  minkštų bandelių su sviestu, medumi ar uogiene.;Turime šviesų bandelių: bandelių su aguonomis arba audrų bandelių su svestu, medumi ar uogiene.;13, 13, 12
