range,en,lt
1-17,Meeting in Vilnius,Sutikimas Vilniuje
1-17,That is the address,Štai adresas
1-17,Where does Sigita live?,Kur gyvena Sigita?
1-17,I am looking for Miss Sigita,Aš ieškau Sigitos
1-17,Just a moment,Minutėlę
1-17,Who are you please?,"Atsiprašau, o kas Jūs?"
1-17,"Hello, I am Jonas Vasiliauskas","Alio, aš esu Jonas Vasiliauskas"
1-17,I am from Lithuania,Aš esu iš Lietuvos
1-17,Welcome to Vilnius,Sveiki atvykę į Vilnių
1-17,A hotel room is reserved for you,Jums užsakytas kambarys viešbutyje
1-17,"The hotel is called ""Žaliasis tiltas""","Viešbutis vadinasi ""Žaliasis tiltas"""
1-17,The hotel is not large,Viešbutis nedidelis
1-17,It is small but comfortable,"Jis mažas, bet patogus"
1-17,Where is the hotel?,Kur yra viešbutis?
1-17,It is easy to find and not far,"Lengva surasti, jis netoli"
1-17,Go left into Kalvarijos street and it  is one hundred meters in the right,"Pasukite į Kalvarijos gatvę, jis už šimto metrų dešinėje"
1-17,Good night. Till tomorrow,Labanaktis. Iki.
18-33,In the hotel,Viešbutyje
18-33,The receptionist welcomes you,Jus sveikina registratorė
18-33,I am expecting you already,Aš Jūsų laukiau
18-33,Have you got your  passport?,Ar turite pasą?
18-33,Your room number is seven,Jūsų kambario numeris septintas
18-33,It's on the first floor,Jis antrame aukšte
18-33,Your room,Jūsų kambarys
18-33,Here is your room.,Štai Jūsų kambarys.
18-33,The room is very nice.,Kambarys puikus.
18-33,On the bed is only one  pillow. Would you like two?,"Ant lovos - viena pagalvė, ar norite antrą?"
18-33,No thank you. Only one please.,"Ne, ačiū. Užteks vienos."
18-33,The bathroom is next door.,Vonia yra šalia kambario.
18-33,Would you like to take a  shower?,Ar norite išsimaudyti?
18-33,Yes please.,"Taip, būtų gerai."
18-33,Here is the soap and a bath towel.,Štai muilas ir vonios rankšluostis.
18-33,Thank you. The bath towel is large and soft. Terrific!,Ačiū. Rankšluostis didelis ir minkštas.  Nuostabu!
34-53,In the hotel at reception,Viešbučio registratūroje
34-53,I do not like my room.,"Atsiprašau, bet aš nepatenkintas kambariu."
34-53,What is the matter then?,O kas negerai?
34-53,I cannot sleep.,Negaliu miegoti.
34-53,I hear the street noise.,Girdėti triukšmas gatvėje.
34-53,Where is your room?,Kur yra Jūsų kambarys?
34-53,On the first floor.,Pirmajame aukšte.
34-53,My room number is seven.,Mano kambarys septintas.
34-53,Would you like a room on the fifth  floor?,Ar norite kambario penktame aukšte?
34-53,"Yes, please.","Taip, būtų gerai."
34-53,In the morning,Ryte
34-53,"Good morning, did you sleep well?",Labas rytas. Ar gerai miegojote?
34-53,"Yes, thank you.","Taip, ačiū."
34-53,"The weather is fine now, isn't it?","Puikus oras, ar ne?"
34-53,The rain has stopped.,Nustojo lyti.
34-53,"Yes, it's a fine day.","Taip, puiki diena."
34-53,It's quite hot already.,Jau gana šilta.
34-53,"What's the time, please?",Kiek dabar laiko?
34-53,Just a moment.,Tuoj pažiūrėsiu.
34-53,Nearly ten o'clock!,Tuoj dešimt!
54-71,The Breakfast,Pusryčiai
54-71,"Good morning, how are you?","Labas rytas, kaip miegojote?"
54-71,"Good morning, what's there for  breakfast?",Labas rytas. Ką turite pusryčiams?
54-71,"We have fresh  rolls: rolls with seeds or soft rolls with butter, honey or jam.","Turime šviežių bandelių: bandelių su aguonomis arba  minkštų bandelių su sviestu, medumi ar uogiene."
54-71,"Yumm, that smells good.","Hm, kvepia puikiai"
54-71,I'd like two rolls,Norėčiau dviejų
54-71,One roll with seeds and a soft roll with butter and honey,Vieną bandelę su aguonomis ir vieną minkštą su sviestu  ir medumi
54-71,I would also like a glass of orange juice and a cup of coffee  please,Taip pat norėčiau stiklinę apelsinų sulčių ir puodelį  kavos.
54-71,Another coffee?,Dar kavos?
54-71,Yes please,"Taip, ačiū"
