range,en,lt,translated_text,BLEU_Score,CHRF_Score,COMET_Score
1-17,Meeting in Vilnius,Sutikimas Vilniuje,Susitikimas Vilniuje,23.217024112151968,51.113854292960305,1.3208128213882446
1-17,That is the address,Štai adresas,Štai kur adresas,23.217024112151968,51.113854292960305,1.1684561967849731
1-17,Where does Sigita live?,Kur gyvena Sigita?,Kur gyvena Sigita?,23.217024112151968,51.113854292960305,1.3302816152572632
1-17,I am looking for Miss Sigita,Aš ieškau Sigitos,Ieškau panelės Sigitos,23.217024112151968,51.113854292960305,1.2115933895111084
1-17,Just a moment,Minutėlę,Tik akimirkai,23.217024112151968,51.113854292960305,1.0849210023880005
1-17,Who are you please?,"Atsiprašau, o kas Jūs?",Kas tu toks?,23.217024112151968,51.113854292960305,-0.5948407053947449
1-17,"Hello, I am Jonas Vasiliauskas","Alio, aš esu Jonas Vasiliauskas","Sveiki, aš esu Jonas Vasiliauskas",23.217024112151968,51.113854292960305,1.3221336603164673
1-17,I am from Lithuania,Aš esu iš Lietuvos,Aš esu iš Lietuvos,23.217024112151968,51.113854292960305,1.327195405960083
1-17,Welcome to Vilnius,Sveiki atvykę į Vilnių,Sveiki atvykę į Vilnių,23.217024112151968,51.113854292960305,1.3271243572235107
1-17,A hotel room is reserved for you,Jums užsakytas kambarys viešbutyje,Viešbučio kambarys yra rezervuotas Jums,23.217024112151968,51.113854292960305,1.0344361066818237
1-17,"The hotel is called ""Žaliasis tiltas""","Viešbutis vadinasi ""Žaliasis tiltas""",Viešbutis vadinasiŽaliasis tiltas“.,23.217024112151968,51.113854292960305,1.3249523639678955
1-17,The hotel is not large,Viešbutis nedidelis,Viešbutis nėra didelis,23.217024112151968,51.113854292960305,1.29042649269104
1-17,It is small but comfortable,"Jis mažas, bet patogus","Mažas, bet patogus",23.217024112151968,51.113854292960305,1.2690098285675049
1-17,Where is the hotel?,Kur yra viešbutis?,Kur yra viešbutis?,23.217024112151968,51.113854292960305,1.3293582201004028
1-17,It is easy to find and not far,"Lengva surasti, jis netoli",Lengva rasti ir toli,23.217024112151968,51.113854292960305,-0.4839669466018677
1-17,Go left into Kalvarijos street and it  is one hundred meters in the right,"Pasukite į Kalvarijos gatvę, jis už šimto metrų dešinėje",Iš kairės į Kalvarijos gatvę ir ji yra šimto metrų dešinėje,23.217024112151968,51.113854292960305,0.6447308659553528
1-17,Good night. Till tomorrow,Labanaktis. Iki.,"Labanakt, iki rytojaus.",23.217024112151968,51.113854292960305,0.036346279084682465
18-33,In the hotel,Viešbutyje,Viešbutis,23.217024112151968,51.113854292960305,0.5438226461410522
18-33,The receptionist welcomes you,Jus sveikina registratorė,Registratūros darbuotojai sveikina Jus,23.217024112151968,51.113854292960305,1.2301474809646606
18-33,I am expecting you already,Aš Jūsų laukiau,Aš jau laukiu tavęs,23.217024112151968,51.113854292960305,1.104021430015564
18-33,Have you got your  passport?,Ar turite pasą?,Ar turite savo pasą?,23.217024112151968,51.113854292960305,1.3171944618225098
18-33,Your room number is seven,Jūsų kambario numeris septintas,Kambarių skaičius 7,23.217024112151968,51.113854292960305,-0.038893602788448334
18-33,It's on the first floor,Jis antrame aukšte,Jis yra pirmame aukšte,23.217024112151968,51.113854292960305,1.2693380117416382
18-33,Your room,Jūsų kambarys,Jūsų kambarys,23.217024112151968,51.113854292960305,1.3271220922470093
18-33,Here is your room.,Štai Jūsų kambarys.,Štai jūsų kambarys.,23.217024112151968,51.113854292960305,1.3223011493682861
18-33,The room is very nice.,Kambarys puikus.,Kambarys labai gražus.,23.217024112151968,51.113854292960305,1.2069954872131348
18-33,On the bed is only one  pillow. Would you like two?,"Ant lovos - viena pagalvė, ar norite antrą?",Ant lovos yra tik viena pagalvė. Ar norėtumėte dviejų?,23.217024112151968,51.113854292960305,1.1293134689331055
18-33,No thank you. Only one please.,"Ne, ačiū. Užteks vienos.","Ne, ačiū, tik vieną.",23.217024112151968,51.113854292960305,0.5471595525741577
