range,en,lt,translated_text
1-17,Meeting in Vilnius,Sutikimas Vilniuje,Susitikimas Vilniuje
1-17,That is the address,Štai adresas,Štai kur adresas
1-17,Where does Sigita live?,Kur gyvena Sigita?,Kur gyvena Sigita?
1-17,I am looking for Miss Sigita,Aš ieškau Sigitos,Ieškau panelės Sigitos
1-17,Just a moment,Minutėlę,Tik akimirkai
1-17,Who are you please?,"Atsiprašau, o kas Jūs?",Kas tu toks?
1-17,"Hello, I am Jonas Vasiliauskas","Alio, aš esu Jonas Vasiliauskas","Sveiki, aš esu Jonas Vasiliauskas"
1-17,I am from Lithuania,Aš esu iš Lietuvos,Aš esu iš Lietuvos
1-17,Welcome to Vilnius,Sveiki atvykę į Vilnių,Sveiki atvykę į Vilnių
1-17,A hotel room is reserved for you,Jums užsakytas kambarys viešbutyje,Viešbučio kambarys yra rezervuotas Jums
1-17,"The hotel is called ""Žaliasis tiltas""","Viešbutis vadinasi ""Žaliasis tiltas""",Viešbutis vadinasiŽaliasis tiltas“.
1-17,The hotel is not large,Viešbutis nedidelis,Viešbutis nėra didelis
1-17,It is small but comfortable,"Jis mažas, bet patogus","Mažas, bet patogus"
1-17,Where is the hotel?,Kur yra viešbutis?,Kur yra viešbutis?
1-17,It is easy to find and not far,"Lengva surasti, jis netoli",Lengva rasti ir toli
1-17,Go left into Kalvarijos street and it  is one hundred meters in the right,"Pasukite į Kalvarijos gatvę, jis už šimto metrų dešinėje",Iš kairės į Kalvarijos gatvę ir ji yra šimto metrų dešinėje
1-17,Good night. Till tomorrow,Labanaktis. Iki.,"Labanakt, iki rytojaus."
18-33,In the hotel,Viešbutyje,Viešbutis
18-33,The receptionist welcomes you,Jus sveikina registratorė,Registratūros darbuotojai sveikina Jus
18-33,I am expecting you already,Aš Jūsų laukiau,Aš jau laukiu tavęs
18-33,Have you got your  passport?,Ar turite pasą?,Ar turite savo pasą?
18-33,Your room number is seven,Jūsų kambario numeris septintas,Kambarių skaičius 7
18-33,It's on the first floor,Jis antrame aukšte,Jis yra pirmame aukšte
18-33,Your room,Jūsų kambarys,Jūsų kambarys
18-33,Here is your room.,Štai Jūsų kambarys.,Štai jūsų kambarys.
18-33,The room is very nice.,Kambarys puikus.,Kambarys labai gražus.
18-33,On the bed is only one  pillow. Would you like two?,"Ant lovos - viena pagalvė, ar norite antrą?",Ant lovos yra tik viena pagalvė. Ar norėtumėte dviejų?
18-33,No thank you. Only one please.,"Ne, ačiū. Užteks vienos.","Ne, ačiū, tik vieną."
18-33,The bathroom is next door.,Vonia yra šalia kambario.,Vonios kambarys yra šalia.
18-33,Would you like to take a  shower?,Ar norite išsimaudyti?,Ar norėtumėte išsimaudyti duše?
18-33,Yes please.,"Taip, būtų gerai.",Prašau.
18-33,Here is the soap and a bath towel.,Štai muilas ir vonios rankšluostis.,Čia yra muilas ir vonios rankšluostis.
18-33,Thank you. The bath towel is large and soft. Terrific!,Ačiū. Rankšluostis didelis ir minkštas.  Nuostabu!,Ačiū. Vonios rankšluostis yra didelis ir minkštas. Puikus!
34-53,In the hotel at reception,Viešbučio registratūroje,Viešbutyje registratūroje
34-53,I do not like my room.,"Atsiprašau, bet aš nepatenkintas kambariu.",Man nepatinka mano kambarys.
34-53,What is the matter then?,O kas negerai?,Kas tada yra?
34-53,I cannot sleep.,Negaliu miegoti.,Negaliu užmigti.
34-53,I hear the street noise.,Girdėti triukšmas gatvėje.,Girdžiu gatvės triukšmą.
34-53,Where is your room?,Kur yra Jūsų kambarys?,Kur tavo kambarys?
34-53,On the first floor.,Pirmajame aukšte.,Pirmame aukšte.
34-53,My room number is seven.,Mano kambarys septintas.,Kambarių skaičius – 7.
34-53,Would you like a room on the fifth  floor?,Ar norite kambario penktame aukšte?,Ar norėtumėte kambario penktame aukšte?
34-53,"Yes, please.","Taip, būtų gerai.","Taip, prašau."
34-53,In the morning,Ryte,Ryte
34-53,"Good morning, did you sleep well?",Labas rytas. Ar gerai miegojote?,"Labas rytas, ar gerai išsimiegojai?"
34-53,"Yes, thank you.","Taip, ačiū.","Taip, ačiū."
34-53,"The weather is fine now, isn't it?","Puikus oras, ar ne?","Dabar oras geras, ar ne?"
34-53,The rain has stopped.,Nustojo lyti.,Lietus liovėsi.
34-53,"Yes, it's a fine day.","Taip, puiki diena.","Taip, tai puiki diena."
34-53,It's quite hot already.,Jau gana šilta.,Jau gana karšta.
34-53,"What's the time, please?",Kiek dabar laiko?,"Koks laikas, prašau?"
34-53,Just a moment.,Tuoj pažiūrėsiu.,Tik akimirką.
34-53,Nearly ten o'clock!,Tuoj dešimt!,Beveik dešimtą valandą!
54-71,The Breakfast,Pusryčiai,Pusryčiai
54-71,"Good morning, how are you?","Labas rytas, kaip miegojote?","Labas rytas, kaip sekasi?"
54-71,"Good morning, what's there for  breakfast?",Labas rytas. Ką turite pusryčiams?,"Labas rytas, o ką pusryčiams?"
54-71,"We have fresh  rolls: rolls with seeds or soft rolls with butter, honey or jam.","Turime šviežių bandelių: bandelių su aguonomis arba  minkštų bandelių su sviestu, medumi ar uogiene.","Turime šviežių ritinių: ritinių su sėklomis arba minkštų ritinių su sviestu, medumi ar uogiene."
54-71,"Yumm, that smells good.","Hm, kvepia puikiai","Yumm, tai kvepia gerai."
54-71,I'd like two rolls,Norėčiau dviejų,Norėčiau dviejų ritinių
54-71,One roll with seeds and a soft roll with butter and honey,Vieną bandelę su aguonomis ir vieną minkštą su sviestu  ir medumi,Vienas ritinys su sėklomis ir minkštas ritinys su sviestu ir medumi
54-71,I would also like a glass of orange juice and a cup of coffee  please,Taip pat norėčiau stiklinę apelsinų sulčių ir puodelį  kavos.,Taip pat norėčiau stiklinės apelsinų sulčių ir puodelio kavos.
54-71,Another coffee?,Dar kavos?,Dar kavos?
54-71,Yes please,"Taip, ačiū","Taip, prašau"
54-71,The waitress smiles,Padavėjas šypsosi,Padavėja šypsosi
54-71,Where do you live then?,Kur Jūs gyvenate?,Kur tu gyveni?
54-71,I live in Toronto,Aš gyvenu Toronte,Gyvenu Toronte
