line_count,en,lt
1,Meeting in Vilnius,Sutikimas Vilniuje
2,That is the address,Štai adresas
3,Where does Sigita live?,Kur gyvena Sigita?
4,I am looking for Miss Sigita,Aš ieškau Sigitos
5,Just a moment,Minutėlę
6,Who are you please?,"Atsiprašau, o kas Jūs?"
7,"Hello, I am Jonas Vasiliauskas","Alio, aš esu Jonas Vasiliauskas"
8,I am from Lithuania,Aš esu iš Lietuvos
9,Welcome to Vilnius,Sveiki atvykę į Vilnių
10,A hotel room is reserved for you,Jums užsakytas kambarys viešbutyje
11,"The hotel is called ""Žaliasis tiltas""","Viešbutis vadinasi ""Žaliasis tiltas"""
12,The hotel is not large,Viešbutis nedidelis
13,It is small but comfortable,"Jis mažas, bet patogus"
14,Where is the hotel?,Kur yra viešbutis?
15,It is easy to find and not far,"Lengva surasti, jis netoli"
16,Go left into Kalvarijos street and it  is one hundred meters in the right,"Pasukite į Kalvarijos gatvę, jis už šimto metrų dešinėje"
17,Good night. Till tomorrow,Labanaktis. Iki.
18,In the hotel,Viešbutyje
19,The receptionist welcomes you,Jus sveikina registratorė
20,I am expecting you already,Aš Jūsų laukiau
21,Have you got your  passport?,Ar turite pasą?
22,Your room number is seven,Jūsų kambario numeris septintas
23,It's on the first floor,Jis antrame aukšte
24,Your room,Jūsų kambarys
25,Here is your room.,Štai Jūsų kambarys.
26,The room is very nice.,Kambarys puikus.
27,On the bed is only one  pillow. Would you like two?,"Ant lovos - viena pagalvė, ar norite antrą?"
28,No thank you. Only one please.,"Ne, ačiū. Užteks vienos."
29,The bathroom is next door.,Vonia yra šalia kambario.
30,Would you like to take a  shower?,Ar norite išsimaudyti?
31,Yes please.,"Taip, būtų gerai."
32,Here is the soap and a bath towel.,Štai muilas ir vonios rankšluostis.
33,Thank you. The bath towel is large and soft. Terrific!,Ačiū. Rankšluostis didelis ir minkštas.  Nuostabu!
34,In the hotel at reception,Viešbučio registratūroje
35,I do not like my room.,"Atsiprašau, bet aš nepatenkintas kambariu."
36,What is the matter then?,O kas negerai?
37,I cannot sleep.,Negaliu miegoti.
38,I hear the street noise.,Girdėti triukšmas gatvėje.
39,Where is your room?,Kur yra Jūsų kambarys?
40,On the first floor.,Pirmajame aukšte.
41,My room number is seven.,Mano kambarys septintas.
42,Would you like a room on the fifth  floor?,Ar norite kambario penktame aukšte?
43,"Yes, please.","Taip, būtų gerai."
44,In the morning,Ryte
45,"Good morning, did you sleep well?",Labas rytas. Ar gerai miegojote?
46,"Yes, thank you.","Taip, ačiū."
47,"The weather is fine now, isn't it?","Puikus oras, ar ne?"
48,The rain has stopped.,Nustojo lyti.
49,"Yes, it's a fine day.","Taip, puiki diena."
50,It's quite hot already.,Jau gana šilta.
51,"What's the time, please?",Kiek dabar laiko?
52,Just a moment.,Tuoj pažiūrėsiu.
53,Nearly ten o'clock!,Tuoj dešimt!
54,The Breakfast,Pusryčiai
55,"Good morning, how are you?","Labas rytas, kaip miegojote?"
56,"Good morning, what's there for  breakfast?",Labas rytas. Ką turite pusryčiams?
57,"We have fresh  rolls: rolls with seeds or soft rolls with butter, honey or jam.","Turime šviežių bandelių: bandelių su aguonomis arba  minkštų bandelių su sviestu, medumi ar uogiene."
58,"Yumm, that smells good.","Hm, kvepia puikiai"
59,I'd like two rolls,Norėčiau dviejų
60,One roll with seeds and a soft roll with butter and honey,Vieną bandelę su aguonomis ir vieną minkštą su sviestu  ir medumi
61,I would also like a glass of orange juice and a cup of coffee  please,Taip pat norėčiau stiklinę apelsinų sulčių ir puodelį  kavos.
62,Another coffee?,Dar kavos?
63,Yes please,"Taip, ačiū"
64,The waitress smiles,Padavėjas šypsosi
65,Where do you live then?,Kur Jūs gyvenate?
66,I live in Toronto,Aš gyvenu Toronte
67,Is this your's first visit to Vilnius?,Ar Jūs pirmą kartą Vilniuje?
68,"Yes, I like Vilnius","Taip, man patinka Vilnius"
69,Do you understand my Lithuanian?,Ar Jūs mane suprantate?
70,"Yes, your Lithuanian is good","Taip, Jūs puikiai kalbate lietuviškai."
71,"I can understand a lot, but please speak slowly","Taip, aš daug suprantu, bet kalbėkite lėčiau prašom"
72,The Clock.,Laikrodis
73,It is ten o'clock.,Dabar dešimt valandų.
74,It is ten fifteen.,Penkiolika minučių po dešimtos.
75,Quarter past ten.,Ketvirtis vienuoliktos.
76,It is ten thirty or half past ten.,Dešimt valandų trisdešimt minučių arba puse vienuoliktos.
77,It is ten forty five or quarter to eleven.,Dešimt valandų keturiasdešimt penkios minutės arba be penkiolikos  minučių vienuolika.
78,On telephone,Pokalbis telefonu
79,"Hello Sigita, here is Kathleen.","Sveika Sigita, čia Katlyna."
80,"Hello, how are things?","Sveika, kaip sekasi?"
81,"Fine, thank you.","Ačiū, puikiai."
82,I'm going shopping in a minute.,Aš einu dabar apsipirkti.
83,So am I. I'm going to the market.,Aš taip pat. Ruošiuosi eiti į turgų.
84,"Oh yes, today is market day.","O, šiandien juk turgaus diena."
85,Then I'll go to the market as well.,Tada aš irgi eisiu į turgų.
86,Shall we meet?,Ar susitiksime?
87,Is that possible?,Ar tai įmanoma?
88,"Yes, that is possible. Where shall we meet then?","Taip, kur galėtumėm susitikti?"
89,At the first stall.,Prie pirmo prekystalio.
90,When shall we meet?,Kada?
91,At 10 o'clock sharp. Is that all right?,Tiksliai dešimtą. Ar tinka?
92,What's the time now?,Kiek dabar?
93,Nearly ten.,Greitai dešimt.
94,Good-bye; see you in a minute then.,Iki. Greitai pasimatysime.
95,On the market,Turguje
96,"Yum, the strawberries smell lovely.","Ach, kaip puikiai kvepia braškės."
97,"Yes, strawberries are my favorite.","O, braškės mano mėgstamiausios uogos."
98,"But Ana, the strawberries are not  fresh.","Bet Ana, braškės ne šviežios."
99,Not fresh? What a pity!,Ne šviežios? Kaip gaila!
